case,baseline,candidate,mode,baseline_file,candidate_file,baseline_file_bytes,candidate_file_bytes,baseline_top,candidate_top,baseline_cells,candidate_cells,dbu,baseline_top_bbox_um,candidate_top_bbox_um,baseline_top_size_um,candidate_top_size_um,layer_count_union,baseline_total_area_um2,candidate_total_area_um2,intersection_total_area_um2,only_baseline_total_area_um2,only_candidate_total_area_um2,xor_total_area_um2,total_overlap_ratio,candidate_shift_dbu,candidate_shift_um
clements_8x8,standard,cpp,raw,standard_gds\clements_8x8_comp_LiDAR_id-2.gds,results\reference_run\clements_8x8_cpp.gds,250678,175952,layout,layout,356,356,0.001,"[0.0, 437.127, 4800.0, 1200.75]","[0.0, 437.127, 4800.0, 1200.75]","[4800.0, 763.623]","[4800.0, 763.623]",8,66258.538353,66258.538353,66258.538353,0.0,0.0,0.0,1.0,"[0, 0]","[0.0, 0.0]"
clements_8x8,standard,cpp,candidate_bbox_ll_aligned,standard_gds\clements_8x8_comp_LiDAR_id-2.gds,results\reference_run\clements_8x8_cpp.gds,250678,175952,layout,layout,356,356,0.001,"[0.0, 437.127, 4800.0, 1200.75]","[0.0, 437.127, 4800.0, 1200.75]","[4800.0, 763.623]","[4800.0, 763.623]",8,66258.538353,66258.538353,66258.538353,0.0,0.0,0.0,1.0,"[0, 0]","[0.0, 0.0]"
clements_8x8,standard,python_original,raw,standard_gds\clements_8x8_comp_LiDAR_id-2.gds,<PICDB_ROOT>\build_native_release\checks\python_original_full\clements_8x8_python.gds,250678,225528,layout,layout,356,356,0.001,"[0.0, 437.127, 4800.0, 1200.75]","[0.0, 437.127, 4800.0, 1200.75]","[4800.0, 763.623]","[4800.0, 763.623]",8,66258.538353,66011.578353,65572.538353,686.0,439.04,1125.04,0.991494375,"[0, 0]","[0.0, 0.0]"
clements_8x8,standard,python_original,candidate_bbox_ll_aligned,standard_gds\clements_8x8_comp_LiDAR_id-2.gds,<PICDB_ROOT>\build_native_release\checks\python_original_full\clements_8x8_python.gds,250678,225528,layout,layout,356,356,0.001,"[0.0, 437.127, 4800.0, 1200.75]","[0.0, 437.127, 4800.0, 1200.75]","[4800.0, 763.623]","[4800.0, 763.623]",8,66258.538353,66011.578353,65572.538353,686.0,439.04,1125.04,0.991494375,"[0, 0]","[0.0, 0.0]"
clements_8x8,python_original,cpp,raw,<PICDB_ROOT>\build_native_release\checks\python_original_full\clements_8x8_python.gds,results\reference_run\clements_8x8_cpp.gds,225528,175952,layout,layout,356,356,0.001,"[0.0, 437.127, 4800.0, 1200.75]","[0.0, 437.127, 4800.0, 1200.75]","[4800.0, 763.623]","[4800.0, 763.623]",8,66011.578353,66258.538353,65572.538353,439.04,686.0,1125.04,0.991494375,"[0, 0]","[0.0, 0.0]"
clements_8x8,python_original,cpp,candidate_bbox_ll_aligned,<PICDB_ROOT>\build_native_release\checks\python_original_full\clements_8x8_python.gds,results\reference_run\clements_8x8_cpp.gds,225528,175952,layout,layout,356,356,0.001,"[0.0, 437.127, 4800.0, 1200.75]","[0.0, 437.127, 4800.0, 1200.75]","[4800.0, 763.623]","[4800.0, 763.623]",8,66011.578353,66258.538353,65572.538353,439.04,686.0,1125.04,0.991494375,"[0, 0]","[0.0, 0.0]"
multiportmmi_8x8,standard,cpp,raw,standard_gds\multiportmmi_8x8_comp_LiDAR_id-2_bak.gds,results\reference_run\multiportmmi_8x8_cpp.gds,621152,337692,layout,layout,910,830,0.001,"[0.0, 422.125, 4371.164, 1178.125]","[0.0, 422.125, 4371.164, 1178.125]","[4371.164, 756.0]","[4371.164, 756.0]",8,120777.55553,120777.542057,120774.948601,2.581054,2.510698,5.091752,0.999978471,"[0, 0]","[0.0, 0.0]"
multiportmmi_8x8,standard,cpp,candidate_bbox_ll_aligned,standard_gds\multiportmmi_8x8_comp_LiDAR_id-2_bak.gds,results\reference_run\multiportmmi_8x8_cpp.gds,621152,337692,layout,layout,910,830,0.001,"[0.0, 422.125, 4371.164, 1178.125]","[0.0, 422.125, 4371.164, 1178.125]","[4371.164, 756.0]","[4371.164, 756.0]",8,120777.55553,120777.542057,120774.948601,2.581054,2.510698,5.091752,0.999978471,"[0, 0]","[0.0, 0.0]"
multiportmmi_8x8,standard,python_original,raw,standard_gds\multiportmmi_8x8_comp_LiDAR_id-2_bak.gds,<PICDB_ROOT>\build_native_release\checks\python_original_full\multiportmmi_8x8_python.gds,621152,545568,layout,layout,910,909,0.001,"[0.0, 422.125, 4371.164, 1178.125]","[0.0, 422.125, 4371.164, 1178.125]","[4371.164, 756.0]","[4371.164, 756.0]",8,120777.55553,120283.897333,119401.731696,1375.858583,882.076036,2257.934619,0.990633138,"[0, 0]","[0.0, 0.0]"
multiportmmi_8x8,standard,python_original,candidate_bbox_ll_aligned,standard_gds\multiportmmi_8x8_comp_LiDAR_id-2_bak.gds,<PICDB_ROOT>\build_native_release\checks\python_original_full\multiportmmi_8x8_python.gds,621152,545568,layout,layout,910,909,0.001,"[0.0, 422.125, 4371.164, 1178.125]","[0.0, 422.125, 4371.164, 1178.125]","[4371.164, 756.0]","[4371.164, 756.0]",8,120777.55553,120283.897333,119401.731696,1375.858583,882.076036,2257.934619,0.990633138,"[0, 0]","[0.0, 0.0]"
multiportmmi_8x8,python_original,cpp,raw,<PICDB_ROOT>\build_native_release\checks\python_original_full\multiportmmi_8x8_python.gds,results\reference_run\multiportmmi_8x8_cpp.gds,545568,337692,layout,layout,909,830,0.001,"[0.0, 422.125, 4371.164, 1178.125]","[0.0, 422.125, 4371.164, 1178.125]","[4371.164, 756.0]","[4371.164, 756.0]",8,120283.897333,120777.542057,119403.428779,880.41011,1374.123039,2254.533149,0.990647273,"[0, 0]","[0.0, 0.0]"
multiportmmi_8x8,python_original,cpp,candidate_bbox_ll_aligned,<PICDB_ROOT>\build_native_release\checks\python_original_full\multiportmmi_8x8_python.gds,results\reference_run\multiportmmi_8x8_cpp.gds,545568,337692,layout,layout,909,830,0.001,"[0.0, 422.125, 4371.164, 1178.125]","[0.0, 422.125, 4371.164, 1178.125]","[4371.164, 756.0]","[4371.164, 756.0]",8,120283.897333,120777.542057,119403.428779,880.41011,1374.123039,2254.533149,0.990647273,"[0, 0]","[0.0, 0.0]"
multiportmmi_16x16,standard,cpp,raw,standard_gds\multiportmmi_16x16_comp_LiDAR_id-2_bak.gds,results\reference_run\multiportmmi_16x16_cpp.gds,1055226,592780,layout,layout,1702,1609,0.001,"[0.0, 822.125, 6908.664, 2378.125]","[0.0, 822.125, 6908.664, 2378.125]","[6908.664, 1556.0]","[6908.664, 1556.0]",8,300658.574903,300658.431935,300649.195832,9.44394,9.236924,18.680864,0.999969043,"[0, 0]","[0.0, 0.0]"
multiportmmi_16x16,standard,cpp,candidate_bbox_ll_aligned,standard_gds\multiportmmi_16x16_comp_LiDAR_id-2_bak.gds,results\reference_run\multiportmmi_16x16_cpp.gds,1055226,592780,layout,layout,1702,1609,0.001,"[0.0, 822.125, 6908.664, 2378.125]","[0.0, 822.125, 6908.664, 2378.125]","[6908.664, 1556.0]","[6908.664, 1556.0]",8,300658.574903,300658.431935,300649.195832,9.44394,9.236924,18.680864,0.999969043,"[0, 0]","[0.0, 0.0]"
multiportmmi_16x16,standard,python_original,raw,standard_gds\multiportmmi_16x16_comp_LiDAR_id-2_bak.gds,<PICDB_ROOT>\build_native_release\checks\python_original_full\multiportmmi_16x16_python.gds,1055226,929438,layout,layout,1702,1703,0.001,"[0.0, 822.125, 6908.664, 2378.125]","[0.0, 822.125, 6908.664, 2378.125]","[6908.664, 1556.0]","[6908.664, 1556.0]",8,300658.574903,299670.850776,297911.801711,2746.821872,1759.035229,4505.857101,0.992494417,"[0, 0]","[0.0, 0.0]"
multiportmmi_16x16,standard,python_original,candidate_bbox_ll_aligned,standard_gds\multiportmmi_16x16_comp_LiDAR_id-2_bak.gds,<PICDB_ROOT>\build_native_release\checks\python_original_full\multiportmmi_16x16_python.gds,1055226,929438,layout,layout,1702,1703,0.001,"[0.0, 822.125, 6908.664, 2378.125]","[0.0, 822.125, 6908.664, 2378.125]","[6908.664, 1556.0]","[6908.664, 1556.0]",8,300658.574903,299670.850776,297911.801711,2746.821872,1759.035229,4505.857101,0.992494417,"[0, 0]","[0.0, 0.0]"
multiportmmi_16x16,python_original,cpp,raw,<PICDB_ROOT>\build_native_release\checks\python_original_full\multiportmmi_16x16_python.gds,results\reference_run\multiportmmi_16x16_cpp.gds,929438,592780,layout,layout,1703,1609,0.001,"[0.0, 822.125, 6908.664, 2378.125]","[0.0, 822.125, 6908.664, 2378.125]","[6908.664, 1556.0]","[6908.664, 1556.0]",8,299670.850776,300658.431935,297906.561073,1764.394395,2751.928504,4516.322899,0.992477194,"[0, 0]","[0.0, 0.0]"
multiportmmi_16x16,python_original,cpp,candidate_bbox_ll_aligned,<PICDB_ROOT>\build_native_release\checks\python_original_full\multiportmmi_16x16_python.gds,results\reference_run\multiportmmi_16x16_cpp.gds,929438,592780,layout,layout,1703,1609,0.001,"[0.0, 822.125, 6908.664, 2378.125]","[0.0, 822.125, 6908.664, 2378.125]","[6908.664, 1556.0]","[6908.664, 1556.0]",8,299670.850776,300658.431935,297906.561073,1764.394395,2751.928504,4516.322899,0.992477194,"[0, 0]","[0.0, 0.0]"
